epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8608,1.38801,2.39588,1.66879,0.49455,0.84637,0.53251,0.33444,1.2101,1.74359,1.67909,0.000554256,0.000554256,0.000554256
2,120.569,1.26018,1.82085,1.51539,0.49795,0.9225,0.57533,0.33588,1.31784,1.64411,1.8147,0.00109161,0.00109161,0.00109161
3,176.818,1.25376,1.62664,1.49548,0.53449,0.84373,0.64825,0.38645,1.42792,1.47342,1.86838,0.00161063,0.00161063,0.00161063
4,232.611,1.26749,1.51227,1.51007,0.49586,0.87288,0.56342,0.31626,1.63439,1.48332,2.01879,0.00158448,0.00158448,0.00158448
5,288.53,1.22278,1.37227,1.47297,0.53276,0.96115,0.62971,0.44403,1.1,1.16781,1.54664,0.00155698,0.00155698,0.00155698
6,344.718,1.22234,1.29219,1.4786,0.61082,0.86183,0.75944,0.52978,1.10122,1.02427,1.5305,0.00152947,0.00152947,0.00152947
7,400.254,1.19074,1.23711,1.43364,0.40607,0.78414,0.52543,0.3431,1.23316,1.37187,1.68068,0.00150197,0.00150197,0.00150197
8,455.757,1.14314,1.15732,1.43237,0.67066,0.79992,0.80089,0.54403,1.21531,1.00091,1.61572,0.00147446,0.00147446,0.00147446
9,511.273,1.1517,1.14269,1.4162,0.66958,0.78917,0.77292,0.55602,1.01141,0.9367,1.43366,0.00144696,0.00144696,0.00144696
10,566.462,1.12997,1.08584,1.39311,0.57784,0.8855,0.8149,0.56431,1.13547,1.08183,1.55021,0.00141945,0.00141945,0.00141945
11,621.713,1.10167,1.07271,1.3733,0.61115,0.82384,0.76774,0.51718,1.206,1.02151,1.60759,0.00139195,0.00139195,0.00139195
12,676.938,1.08258,1.07013,1.36701,0.78238,0.78623,0.84462,0.62242,1.03466,0.84597,1.44581,0.00136444,0.00136444,0.00136444
